species,date_of_search,family,lon,lat,year,country
Leopardus tigrinus,2021-05-04,Felidae,-46.541901,-22.9186,NA,Brazil
Leopardus tigrinus,2021-05-04,Felidae,-45.5914,-22.739401,NA,Brazil
Leopardus tigrinus,2021-05-04,Felidae,-46.059399,-23.802799,NA,Brazil
Leopardus tigrinus,2021-05-04,Felidae,-47.427799,-23.711901,NA,Brazil
Leopardus tigrinus,2021-05-04,Felidae,-48.3908,-21.9925,NA,Brazil
Leopardus tigrinus,2021-05-04,Felidae,-46.6339,-23.550301,NA,Brazil
Leopardus tigrinus,2021-05-04,Felidae,-47.75,-24.834999,NA,Brazil
Leopardus tigrinus,2021-05-04,Felidae,-45.070801,-23.433901,NA,Brazil
Leopardus tigrinus,2021-05-04,Felidae,-49.686284,-22.42061,NA,Brazil
Leopardus tigrinus,2021-05-04,Felidae,-49.686284,-22.42061,NA,Brazil
Leopardus tigrinus,2021-05-04,Felidae,-49.686284,-22.42061,NA,Brazil
Leopardus tigrinus,2021-05-04,Felidae,-39.455277777778,-13.048055555556,NA,Brasil
Leopardus tigrinus,2021-05-04,Felidae,-52.1586,-14.05,2010,Brasil
Leopardus tigrinus,2021-05-04,Felidae,-52.296444,-14.830306,2011,Brasil
Leopardus guigna,2021-05-04,NA,NA,NA,NA,NA
Leopardus geoffroyi,2021-05-04,Felidae,-56.108951,-34.604054,2021,UY
Leopardus geoffroyi,2021-05-04,Felidae,-61.710434,-32.197307,2020,AR
Leopardus geoffroyi,2021-05-04,Felidae,-61.415999,-32.015921,2018,AR
Leopardus geoffroyi,2021-05-04,Felidae,-53.644409,-33.970358,2013,UY
Leopardus geoffroyi,2021-05-04,Felidae,-61.012476,-31.483287,2021,AR
Leopardus geoffroyi,2021-05-04,Felidae,-61.011444,-31.48399,2021,AR
Leopardus geoffroyi,2021-05-04,Felidae,-57.481546,-28.646919,2005,AR
Leopardus geoffroyi,2021-05-04,Felidae,-54.626148,-34.568534,2016,UY
Leopardus geoffroyi,2021-05-04,Felidae,-59.930308,-30.579558,2021,AR
Leopardus geoffroyi,2021-05-04,Felidae,-58.130701,-34.760845,2018,AR
Leopardus geoffroyi,2021-05-04,Felidae,-58.888901,-34.21045,2018,AR
Leopardus geoffroyi,2021-05-04,Felidae,-61.546045,-38.998172,2021,AR
Leopardus geoffroyi,2021-05-04,Felidae,-58.460139,-33.039793,2021,AR
Leopardus geoffroyi,2021-05-04,Felidae,-61.546027,-38.998176,2021,AR
Leopardus geoffroyi,2021-05-04,Felidae,-59.834313,-29.960665,2021,AR
Leopardus geoffroyi,2021-05-04,Felidae,-58.896793,-32.256522,2015,AR
Leopardus geoffroyi,2021-05-04,Felidae,-60.48515,-31.730108,2020,AR
Leopardus geoffroyi,2021-05-04,Felidae,-60.522944,-31.834262,2020,AR
Leopardus geoffroyi,2021-05-04,Felidae,-60.591736,-32.818732,2012,AR
Leopardus geoffroyi,2021-05-04,Felidae,-60.281364,-32.02125,2020,AR
Leopardus geoffroyi,2021-05-04,Felidae,-59.195804,-31.818835,2020,AR
Leopardus geoffroyi,2021-05-04,Felidae,-58.643383,-34.440227,2021,AR
Leopardus geoffroyi,2021-05-04,Felidae,-58.862635,-32.373022,2020,AR
Leopardus geoffroyi,2021-05-04,Felidae,-60.501923,-31.780425,2020,AR
Leopardus geoffroyi,2021-05-04,Felidae,-60.527622,-31.836869,2020,AR
Leopardus geoffroyi,2021-05-04,Felidae,-60.281255,-32.021588,2020,AR
Leopardus geoffroyi,2021-05-04,Felidae,-60.621187,-32.065025,2020,AR
Leopardus geoffroyi,2021-05-04,Felidae,-57.196593,-28.547168,2012,AR
Leopardus geoffroyi,2021-05-04,Felidae,-58.643578,-34.440175,2020,AR
Leopardus geoffroyi,2021-05-04,Felidae,-60.021827,-33.498029,2017,AR
Leopardus geoffroyi,2021-05-04,Felidae,-55.470927,-34.785726,2020,UY
Leopardus geoffroyi,2021-05-04,Felidae,-60.675707,-32.849658,2020,AR
Leopardus geoffroyi,2021-05-04,Felidae,-60.854637,-31.733149,2019,AR
Leopardus geoffroyi,2021-05-04,Felidae,-60.125245,-31.129865,2014,AR
Leopardus geoffroyi,2021-05-04,Felidae,-59.955214,-30.61546,2014,AR
Leopardus geoffroyi,2021-05-04,Felidae,-65.072059,-32.015519,2020,AR
Leopardus geoffroyi,2021-05-04,Felidae,-60.472433,-31.511692,2008,AR
Leopardus geoffroyi,2021-05-04,Felidae,-60.867477,-31.734617,2020,AR
Leopardus geoffroyi,2021-05-04,Felidae,-59.988802,-32.335348,2019,AR
Leopardus geoffroyi,2021-05-04,Felidae,-60.861845,-31.732139,2019,AR
Leopardus geoffroyi,2021-05-04,Felidae,-60.426167,-31.845552,2018,AR
Leopardus geoffroyi,2021-05-04,Felidae,-60.31094,-31.370679,2018,AR
Leopardus geoffroyi,2021-05-04,Felidae,-60.861374,-31.729653,2020,AR
Leopardus geoffroyi,2021-05-04,Felidae,-60.862784,-31.732658,2019,AR
Leopardus geoffroyi,2021-05-04,Felidae,-60.862041,-31.655846,2019,AR
Leopardus geoffroyi,2021-05-04,Felidae,-65.070645,-32.017283,2020,AR
Leopardus geoffroyi,2021-05-04,Felidae,-60.491901,-31.534452,2019,AR
Leopardus geoffroyi,2021-05-04,Felidae,-60.479792,-31.508634,2012,AR
Leopardus geoffroyi,2021-05-04,Felidae,-60.77305,-31.478133,2018,AR
