family,species,lon,lat,year,country
Felidae,Leopardus geoffroyi,-64.786531,-25.134122,2019,AR
Felidae,Leopardus tigrinus,-73.7399,4.8995,2017,CO
Felidae,Leopardus geoffroyi,-64.524031,-31.534633,2019,AR
Felidae,Leopardus tigrinus,-82.794635,8.946157,2019,CR
Felidae,Leopardus guttulus,-55.572742,-24.137897,2014,PY
Felidae,Leopardus geoffroyi,-67.284667,-46.890475,2019,AR
Felidae,Leopardus geoffroyi,-59.835315,-25.953463,2016,AR
Felidae,Leopardus tigrinus,-75.595737,4.999158,2018,CO
Felidae,Leopardus tigrinus,-75.354341,4.950273,2009,CO
Felidae,Leopardus tigrinus,-75.474891,5.048364,NA,CO
Felidae,Leopardus tigrinus,-75.412255,4.779593,2009,CO
Felidae,Leopardus tigrinus,-75.377386,5.022781,NA,CO
Felidae,Leopardus tigrinus,-75.416444,4.831361,2009,CO
Felidae,Leopardus tigrinus,-75.515705,4.944095,1985,CO
Felidae,Leopardus tigrinus,-75.481667,5.065833,2002,CO
Felidae,Leopardus geoffroyi,-51.167306,-30.008333,2014,BR
Felidae,Leopardus geoffroyi,-55.566944,-30.060278,2014,BR
Felidae,Leopardus geoffroyi,-53.466389,-31.528889,2014,BR
Felidae,Leopardus geoffroyi,-52.835,-32.01,2010,BR
Felidae,Leopardus geoffroyi,-51.572778,-30.666111,2014,BR
Felidae,Leopardus geoffroyi,-51.167306,-30.008333,2014,BR
Felidae,Leopardus guttulus,-52.000431,-30.1359,2016,BR
Felidae,Leopardus geoffroyi,-54.686583,-30.229111,2012,BR
Felidae,Leopardus tigrinus,-53.417222,-27.415278,2013,BR
Felidae,Leopardus tigrinus,-52.083444,-30.140472,2012,BR
Felidae,Leopardus tigrinus,-54.854503,-28.122883,2012,BR
Felidae,Leopardus geoffroyi,-52.354722,-30.185861,2010,BR
Felidae,Leopardus tigrinus,-51.087389,-29.172611,2012,BR
Felidae,Leopardus tigrinus,-53.59769,-28.77884,2013,BR
Felidae,Leopardus geoffroyi,-57.172717,-28.53494,2014,AR
Felidae,Leopardus geoffroyi,-57.172717,-28.53494,2014,AR
Felidae,Leopardus geoffroyi,-54.145764,-34.421796,2018,UY
Felidae,Leopardus geoffroyi,-54.225864,-34.530603,2018,UY
Felidae,Leopardus geoffroyi,-59.135385,-31.800513,2019,AR
Felidae,Leopardus geoffroyi,-59.049297,-31.805477,2019,AR
Felidae,Leopardus geoffroyi,-57.17749,-28.533112,2015,AR
Felidae,Leopardus geoffroyi,-57.17749,-28.533112,2015,AR
Felidae,Leopardus geoffroyi,-57.17749,-28.533112,2015,AR
Felidae,Leopardus geoffroyi,-57.173456,-28.536053,2015,AR
Felidae,Leopardus tigrinus,-47.867041,-11.491924,2013,BR
Felidae,Leopardus geoffroyi,-68.024,-16.653,2019,BO
Felidae,Leopardus geoffroyi,-68.024,-16.653,2018,BO
Felidae,Leopardus geoffroyi,-68.025,-16.653,2019,BO
Felidae,Leopardus tigrinus,-75.337659,4.983208,2015,CO
Felidae,Leopardus tigrinus,-75.337659,4.983208,2015,CO
Felidae,Leopardus tigrinus,-75.337659,4.983208,2015,CO
Felidae,Leopardus tigrinus,-76.086,4.947417,2016,CO
Felidae,Leopardus tigrinus,-76.22141,6.52234,2017,CO
Felidae,Leopardus tigrinus,-77.41068,1.20963,2017,CO
Felidae,Leopardus tigrinus,-76.32541,6.57661,2017,CO
Felidae,Leopardus tigrinus,-77.41068,1.20963,2017,CO
Felidae,Leopardus tigrinus,-75.337659,4.983208,2015,CO
Felidae,Leopardus tigrinus,-77.40492,1.21095,2017,CO
Felidae,Leopardus tigrinus,-76.07475,5.2155,2016,CO
Felidae,Leopardus tigrinus,-76.163194,5.299806,2016,CO
Felidae,Leopardus tigrinus,-75.337659,4.983208,2015,CO
Felidae,Leopardus tigrinus,-75.337659,4.983208,2015,CO
Felidae,Leopardus tigrinus,-76.101028,5.22925,2016,CO
Felidae,Leopardus tigrinus,-76.22141,6.52234,2017,CO
Felidae,Leopardus tigrinus,-77.40492,1.21095,2017,CO
Felidae,Leopardus tigrinus,-76.22247,6.54946,2017,CO
Felidae,Leopardus tigrinus,-76.013694,5.111806,2016,CO
Felidae,Leopardus tigrinus,-76.32541,6.57661,2017,CO
Felidae,Leopardus tigrinus,-76.078694,4.972833,2016,CO
Felidae,Leopardus tigrinus,-76.113194,5.264528,2016,CO
Felidae,Leopardus tigrinus,-76.32541,6.57661,2017,CO
Felidae,Leopardus tigrinus,-76.101028,5.22925,2016,CO
Felidae,Leopardus tigrinus,-76.07475,5.2155,2016,CO
Felidae,Leopardus tigrinus,-76.113194,5.264528,2016,CO
Felidae,Leopardus tigrinus,-76.101028,5.22925,2016,CO
Felidae,Leopardus tigrinus,-76.032806,5.091583,2016,CO
Felidae,Leopardus tigrinus,-76.032806,5.091583,2016,CO
Felidae,Leopardus tigrinus,-76.113194,5.264528,2016,CO
Felidae,Leopardus tigrinus,-77.41261,1.2082,2017,CO
Felidae,Leopardus tigrinus,-76.101028,5.22925,2016,CO
Felidae,Leopardus tigrinus,-76.101028,5.22925,2016,CO
Felidae,Leopardus tigrinus,-75.070388,5.529,2017,CO
Felidae,Leopardus tigrinus,-76.101028,5.22925,2016,CO
Felidae,Leopardus tigrinus,-76.26387,6.58888,2017,CO
Felidae,Leopardus tigrinus,-76.046278,5.193444,2016,CO
Felidae,Leopardus tigrinus,-76.091389,4.9375,2016,CO
Felidae,Leopardus tigrinus,-76.046278,5.193444,2016,CO
Felidae,Leopardus tigrinus,-75.020889,5.455306,2017,CO
Felidae,Leopardus tigrinus,-77.41531,1.20831,2017,CO
Felidae,Leopardus tigrinus,-76.045361,5.065083,2016,CO
Felidae,Leopardus tigrinus,-76.091389,4.9375,2016,CO
Felidae,Leopardus tigrinus,-77.40575,1.20578,2017,CO
Felidae,Leopardus geoffroyi,-58.037282,-32.522062,2019,UY
Felidae,Leopardus tigrinus,-76.101472,1.638889,2017,CO
Felidae,Leopardus geoffroyi,-58.037415,-32.521382,2019,UY
Felidae,Leopardus geoffroyi,-65.478903,-31.375826,2009,AR
Felidae,Leopardus geoffroyi,-57.199516,-28.545595,2015,AR
Felidae,Leopardus geoffroyi,-65.140144,-37.412931,2016,AR
Felidae,Leopardus geoffroyi,-59.314921,-22.555708,2015,PY
Felidae,Leopardus geoffroyi,-57.179074,-28.547026,2015,AR
Felidae,Leopardus geoffroyi,-57.20448,-28.531342,2015,AR
Felidae,Leopardus geoffroyi,-57.204803,-28.539788,2015,AR
Felidae,Leopardus geoffroyi,-57.990768,-34.818981,2013,AR
Felidae,Leopardus geoffroyi,-57.160991,-28.487158,2016,AR
Felidae,Leopardus tigrinus,-76.101185,5.660886,2019,CO
Felidae,Leopardus geoffroyi,-72.639963,-50.826295,2019,CL
Felidae,Leopardus geoffroyi,-59.8,-22.4,1977,PY
Felidae,Leopardus geoffroyi,-60.321,-20.63333,1977,PY
Felidae,Leopardus tigrinus,-83.91667,9.65,1931,CR
Felidae,Leopardus geoffroyi,-59.9,-22.1,1976,PY
Felidae,Leopardus geoffroyi,-59.24443,-23.88226,1979,PY
Felidae,Leopardus geoffroyi,-60.1,-20.45,1977,PY
Felidae,Leopardus geoffroyi,-60.321,-20.63333,1977,PY
Felidae,Leopardus geoffroyi,-58.891518,-34.21363,2018,AR
Felidae,Leopardus geoffroyi,-61.190291,-30.18549,2018,AR
Felidae,Leopardus tigrinus,-76.479,4.02402,2015,CO
Felidae,Leopardus tigrinus,-76.41657,4.20148,2015,CO
Felidae,Leopardus tigrinus,-76.435459,4.121359,2015,CO
Felidae,Leopardus tigrinus,-76.398263,4.173275,2015,CO
Felidae,Leopardus tigrinus,-76.498199,4.012796,2015,CO
Felidae,Leopardus tigrinus,-76.422501,4.130926,2015,CO
Felidae,Leopardus tigrinus,-76.41473,4.19576,2015,CO
Felidae,Leopardus tigrinus,-76.39789,4.23017,2015,CO
Felidae,Leopardus tigrinus,-76.4236,4.20356,2015,CO
Felidae,Leopardus tigrinus,-76.382782,4.086247,2015,CO
Felidae,Leopardus tigrinus,-76.39735,4.084229,2015,CO
Felidae,Leopardus tigrinus,-76.382263,4.08799,2015,CO
Felidae,Leopardus tigrinus,-73.505409,5.687215,2017,CO
Felidae,Leopardus tigrinus,-77.346278,2.770167,2013,CO
Felidae,Leopardus geoffroyi,-71.231764,-47.356561,2013,AR
Felidae,Leopardus geoffroyi,-60.981443,-30.728222,2016,AR
Felidae,Leopardus geoffroyi,-60.937565,-30.93977,2018,AR
Felidae,Leopardus geoffroyi,-61.030787,-30.735964,2017,AR
Felidae,Leopardus geoffroyi,-61.03102,-30.735701,2017,AR
Felidae,Leopardus tigrinus,-75.495361,4.469028,2015,CO
Felidae,Leopardus tigrinus,-75.495361,4.469028,2014,CO
Felidae,Leopardus tigrinus,-75.480528,4.45175,2014,CO
Felidae,Leopardus tigrinus,-75.480528,4.45175,2014,CO
Felidae,Leopardus tigrinus,-75.480528,4.45175,2014,CO
Felidae,Leopardus tigrinus,-75.495361,4.469028,2014,CO
Felidae,Leopardus tigrinus,-75.480528,4.45175,2014,CO
Felidae,Leopardus tigrinus,-75.495361,4.469028,2014,CO
Felidae,Leopardus tigrinus,-75.480528,4.45175,2014,CO
Felidae,Leopardus tigrinus,-75.480528,4.45175,2014,CO
Felidae,Leopardus tigrinus,-75.495361,4.469028,2012,CO
Felidae,Leopardus tigrinus,-75.495361,4.469028,2014,CO
Felidae,Leopardus tigrinus,-75.495361,4.469028,2014,CO
Felidae,Leopardus tigrinus,-75.480528,4.45175,2014,CO
Felidae,Leopardus tigrinus,-75.480528,4.45175,2013,CO
Felidae,Leopardus tigrinus,-75.480528,4.45175,2013,CO
Felidae,Leopardus tigrinus,-75.501278,4.461,2013,CO
Felidae,Leopardus tigrinus,-75.495361,4.469028,2013,CO
Felidae,Leopardus geoffroyi,-57.166939,-28.539837,2015,AR
Felidae,Leopardus tigrinus,-77.01516,4.00277,2018,CO
Felidae,Leopardus geoffroyi,-65.349152,-41.620878,2018,AR
