"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","preparationType","individualCount","county","coordinatePrecision","sex","geoFlag","occurrenceRemarks","scientificNameAuthorship","yearIdentified","monthIdentified","dayIdentified","maximumElevationInMeters"
"31","2017-12-05 15:17:23-02","PUCRS","MCP-MAMIFEROS","1818","S","Animalia",NA,NA,"Carnivora","Felidae","Leopardus","geoffroyi","Leopardus geoffroyi",NA,NA,NA,"2012","09","30",NA,"Brasil","Rio Grande do Sul","RS 377","-56.4514007568359","-30.3875007629395",NA,NA,NA,NA,NA,"Quaraí","74636",NA,"auto",NA,NA,NA,NA,NA,NA
"32","2017-12-05 15:17:23-02","PUCRS","MCP-MAMIFEROS","1974","S","Animalia",NA,NA,"Carnivora","Felidae","Leopardus","geoffroyi","Leopardus geoffroyi",NA,NA,NA,"2014","07","24",NA,"Brasil","Rio Grande do Sul","BR 116","-51.3958015441895","-30.6732997894287",NA,NA,NA,NA,NA,"Tapes","25762","Macho","auto",NA,NA,NA,NA,NA,NA
"33","2017-12-05 15:17:24-02","PUCRS","MCP-MAMIFEROS","2179","S","Animalia",NA,NA,"Carnivora","Felidae","Leopardus","geoffroyi melânico","Leopardus geoffroyi melânico",NA,NA,NA,"2014","10","15",NA,"Brasil","Rio Grande do Sul","BR 290","-51.167306","-30.008333","51° 10' 2.3''W","30°00' 30''S",NA,NA,NA,"Alegrete",NA,"Macho",NA,NA,NA,NA,NA,NA,NA
"34","2017-12-05 15:17:24-02","PUCRS","MCP-MAMIFEROS","2221","S","Animalia",NA,NA,"Carnivora","Felidae","Leopardus","geoffroyi melânico","Leopardus geoffroyi melânico",NA,NA,NA,"2016","11","16",NA,"Brasil","Rio Grande do Sul",NA,NA,"-30.254667","28' 41.6''W","30°15' 16.8''S",NA,NA,NA,"São Gabriel",NA,"Macho",NA,NA,NA,NA,NA,NA,NA
"35","2017-12-05 15:17:24-02","PUCRS","MCP-MAMIFEROS","2027","S","Animalia",NA,NA,"Carnivora","Felidae","Leopardus","tigrinus","Leopardus tigrinus",NA,NA,NA,"1979","09","08",NA,"Brasil","Rio Grande do Sul","Fazenda Bela Vista","-52.521900177002","-30.5438995361328",NA,NA,NA,NA,NA,"Encruzilhada do Sul","62084",NA,"auto",NA,NA,NA,NA,NA,NA
"36","2017-12-05 15:17:24-02","PUCRS","MCP-MAMIFEROS","1816","S","Animalia",NA,NA,"Carnivora","Felidae","Leopardus","tigrinus","Leopardus tigrinus",NA,NA,NA,"2012","07","26",NA,"Brasil","Rio Grande do Sul","BR 158","-53.7647018432617","-29.6096992492676",NA,NA,NA,NA,NA,"Itaára","17818","Fêmea","auto",NA,NA,NA,NA,NA,NA
"37","2017-12-05 15:17:24-02","PUCRS","MCP-MAMIFEROS","2073","S","Animalia",NA,NA,"Carnivora","Felidae","Leopardus","tigrinus","Leopardus tigrinus",NA,NA,NA,"1983","05","23",NA,"Brasil","Rio Grande do Sul","Zoológico","-51.1483001708984","-29.8246994018555",NA,NA,NA,NA,NA,"Sapucaia do Sul","7291","Fêmea","auto",NA,NA,NA,NA,NA,NA
"38","2017-12-05 15:17:24-02","PUCRS","MCP-MAMIFEROS","2077","S","Animalia",NA,NA,"Carnivora","Felidae","Leopardus","tigrinus","Leopardus tigrinus",NA,NA,NA,"1983","05","23",NA,"Brasil","Rio Grande do Sul","Zoológico","-51.1483001708984","-29.8246994018555",NA,NA,NA,NA,NA,"Sapucaia do Sul","7291","Macho","auto",NA,NA,NA,NA,NA,NA
"39","2017-12-05 15:17:24-02","PUCRS","MCP-MAMIFEROS","1795","S","Animalia",NA,NA,"Carnivora","Felidae","Leopardus","tigrinus","Leopardus tigrinus",NA,NA,NA,"2012","01","12",NA,"Brasil","Rio Grande do Sul","Estrada do Caravagio","-51.087389","-29.172611","51° 05' 14.6''W","29°10' 21.4''S",NA,NA,NA,"Caxias do Sul",NA,"Macho",NA,NA,NA,NA,NA,NA,NA
"40","2017-12-05 15:17:24-02","PUCRS","MCP-MAMIFEROS","1803","S","Animalia",NA,NA,"Carnivora","Felidae","Leopardus","tigrinus","Leopardus tigrinus",NA,NA,NA,"2012","01","25",NA,"Brasil","Rio Grande do Sul","BR 392","-54.854503","-28.122883","54° 51' 16.21''W","28°07' 22.38''S",NA,NA,NA,"Salvador das Missões",NA,"Macho",NA,NA,NA,NA,NA,NA,NA
