gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3073239111	f946666e-67dc-4848-9fa8-2162f3559e33	BDBB97C9-253F-34A9-E053-3014A8C073B0_	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus tigrinus		SPECIES	Leopardus tigrinus (Schreber, 1775)	Leopardus tigrinus (Schreber, 1775)		GF			PRESENT		1928bdf0-f5d2-11dc-8c12-b8a03c50a862	4.10751	-52.07192	5000.0						2010-01-01T00:00:00	1	1	2010	2434930	2434930	HUMAN_OBSERVATION	UMS PatriNat				Non renseigné (Non renseigné)		CC_BY_NC_4_0		Non renseigné (Non renseigné)			2021-04-15T16:05:32.254Z		GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_MISMATCH;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
3073126060	f946666e-67dc-4848-9fa8-2162f3559e33	BDBB97C4-0400-09FB-E053-5514A8C02F89_	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus tigrinus		SPECIES	Leopardus tigrinus (Schreber, 1775)	Leopardus tigrinus (Schreber, 1775)		GF			PRESENT		1928bdf0-f5d2-11dc-8c12-b8a03c50a862	2.44257	-53.2178	5000.0						2010-01-01T00:00:00	1	1	2010	2434930	2434930	HUMAN_OBSERVATION	UMS PatriNat				Non renseigné (Non renseigné)		CC_BY_NC_4_0		Non renseigné (Non renseigné)			2021-04-15T16:05:30.393Z		GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_MISMATCH;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
3070674303	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/72415196	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus geoffroyi		SPECIES	Leopardus geoffroyi (d'Orbigny & Gervais, 1844)	Leopardus geoffroyi		AR		Santa Fe	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-30.579558	-59.930308	1883.0						2021-03-20T18:25:00	20	3	2021	2434942	2434942	HUMAN_OBSERVATION	iNaturalist	Observations	72415196		HUGO DAVID CAVERZASI	2021-03-30T02:12:35	CC_BY_NC_4_0	HUGO DAVID CAVERZASI	HUGO DAVID CAVERZASI			2021-05-02T20:52:07.773Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
3070631416	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/66494942	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus guttulus		SPECIES	Leopardus guttulus (Hensel, 1872)	Leopardus guttulus		BR		São Paulo	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-23.248583	-46.199262	30196.0						2012-06-29T08:44:50	29	6	2012	7740958	7740958	HUMAN_OBSERVATION	iNaturalist	Observations	66494942		C Hewitt	2020-12-13T02:17:46	CC0_1_0	Tomaz Nascimento de Melo	Tomaz Nascimento de Melo			2021-05-02T20:35:37.848Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
3070345843	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/38259942	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus geoffroyi		SPECIES	Leopardus geoffroyi (d'Orbigny & Gervais, 1844)	Leopardus geoffroyi		AR		Buenos Aires	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-34.760845	-58.130701	111.0						2018-03-27T18:15:00	27	3	2018	2434942	2434942	HUMAN_OBSERVATION	iNaturalist	Observations	38259942		Matias Cabezas	2020-02-03T15:51:54	CC_BY_4_0	Matias Cabezas	Matias Cabezas			2021-05-02T20:33:56.098Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
3068021082	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/71677135	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus guttulus		SPECIES	Leopardus guttulus (Hensel, 1872)	Leopardus guttulus		BR		São Paulo	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-21.212646	-48.626523	30396.0						2013-11-07T12:41:00	7	11	2013	7740958	7740958	HUMAN_OBSERVATION	iNaturalist	Observations	71677135		C Hewitt	2021-03-21T05:13:06	CC_BY_NC_4_0	LeandroVacchiano	LeandroVacchiano			2021-05-02T20:17:02.520Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
3061679160	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/71375745	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus geoffroyi		SPECIES	Leopardus geoffroyi (d'Orbigny & Gervais, 1844)	Leopardus geoffroyi		AR		Buenos Aires	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-34.21045	-58.888901	509.0						2018-12-30T10:18:00	30	12	2018	2434942	2434942	HUMAN_OBSERVATION	iNaturalist	Observations	71375745		María Belén Dri	2021-03-16T18:40:35	CC_BY_NC_4_0	María Belén Dri	María Belén Dri			2021-05-02T20:16:37.124Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
3058775136	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/70898496	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus geoffroyi		SPECIES	Leopardus geoffroyi (d'Orbigny & Gervais, 1844)	Leopardus geoffroyi		AR		Buenos Aires	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-38.998172	-61.546045	4.0						2021-01-09T14:41:00	9	1	2021	2434942	2434942	HUMAN_OBSERVATION	iNaturalist	Observations	70898496		diego Hernan Perez	2021-03-09T21:15:45	CC_BY_4_0	diego Hernan Perez	diego Hernan Perez			2021-05-02T20:52:24.486Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
3058768778	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/69518601	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus geoffroyi		SPECIES	Leopardus geoffroyi (d'Orbigny & Gervais, 1844)	Leopardus geoffroyi		AR		Entre Ríos	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-33.039793	-58.460139	757.0						2021-02-13T16:38:52	13	2	2021	2434942	2434942	HUMAN_OBSERVATION	iNaturalist	Observations	69518601		Tiziano Luka Pes	2021-02-25T03:29:28	CC_BY_4_0	Agustina Collazo	Agustina Collazo			2021-05-02T20:16:30.461Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
3058730117	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/70898495	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus geoffroyi		SPECIES	Leopardus geoffroyi (d'Orbigny & Gervais, 1844)	Leopardus geoffroyi		AR		Buenos Aires	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-38.998176	-61.546027	8.0						2021-01-09T14:41:00	9	1	2021	2434942	2434942	HUMAN_OBSERVATION	iNaturalist	Observations	70898495		diego Hernan Perez	2021-03-09T21:15:45	CC_BY_4_0	diego Hernan Perez	diego Hernan Perez			2021-05-02T20:17:25.728Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
